CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Aruba,ABW,,,NAT_TOTAL,20200131,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,ABW,,,NAT_TOTAL,20200229,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,ABW,,,NAT_TOTAL,20200331,3,1,3,1,2,1,4,1,0,,2,1,2,1,4,0,,2,0,0,2,1,1,1,0,0,0,,0,,,55,0,85.19,85.19,85.71,85.71,63.33,63.33,65.38,65.38,50,50
Aruba,ABW,,,NAT_TOTAL,20200430,3,1,3,1,2,1,4,1,0,,2,1,2,1,4,2,0,2,0,0,2,1,1,1,0,0,0,,0,,,100,2,85.19,85.19,85.71,85.71,68.33,68.33,65.38,65.38,87.5,87.5
Aruba,ABW,,,NAT_TOTAL,20200531,2,1,2,1,2,1,0,,0,,1,1,1,1,4,2,0,2,0,0,2,1,1,1,0,0,0,,0,,,101,3,57.41,57.41,73.81,73.81,51.67,51.67,46.15,46.15,87.5,87.5
Aruba,ABW,,,NAT_TOTAL,20200630,1,1,1,1,2,1,0,,0,,1,1,1,1,3,2,0,2,0,0,2,1,2,1,0,0,0,,0,,,103,3,47.22,47.22,63.1,63.1,47.78,47.78,41.67,41.67,87.5,87.5
Aruba,ABW,,,NAT_TOTAL,20200731,0,,1,1,2,1,0,,0,,1,1,1,1,3,1,0,2,0,0,2,1,2,1,0,0,0,,0,,,121,3,43.52,43.52,55.95,55.95,42.22,42.22,39.1,39.1,62.5,62.5
Aruba,ABW,,,NAT_TOTAL,20200831,3,1,2,1,2,1,4,0,0,,2,1,1,1,3,1,0,2,0,0,2,1,2,1,0,0,3,1,0,,,2006,10,71.76,71.76,75,75,64.17,64.17,64.42,64.42,62.5,62.5
Aruba,ABW,,,NAT_TOTAL,20200930,2,1,2,1,2,0,4,0,0,,2,1,0,,1,1,0,2,0,0,2,1,2,1,0,0,3,1,0,,,3963,27,54.17,54.17,61.43,61.43,53.61,53.61,52.24,52.24,62.5,62.5
Aruba,ABW,,,NAT_TOTAL,20201031,2,1,0,,2,0,4,1,0,,0,,0,,1,1,0,2,0,0,2,1,2,1,0,0,2,1,0,,,4513,38,40.74,40.74,42.86,42.86,43.89,43.89,41.03,41.03,62.5,62.5
Aruba,ABW,,,NAT_TOTAL,20201130,1,0,0,,1,0,3,1,0,,0,,0,,1,1,0,2,0,0,2,1,2,1,0,0,2,1,0,,,4845,45,26.85,26.85,32.86,32.86,35.56,35.56,31.41,31.41,62.5,62.5
Aruba,ABW,,,NAT_TOTAL,20201231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5489,49,,,,,,,,,,
Afghanistan,AFG,,,NAT_TOTAL,20200131,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,,,NAT_TOTAL,20200229,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,0,,1,1,0,0,0,,0,,,1,0,8.33,8.33,10.71,10.71,10.56,10.56,12.18,12.18,0,0
Afghanistan,AFG,,,NAT_TOTAL,20200331,3,1,3,0,2,1,0,,2,0,2,0,1,0,3,0,,0,0,0,2,1,1,1,0,0,0,,0,,,175,4,67.59,67.59,80.95,80.95,46.11,46.11,53.21,53.21,0,0
Afghanistan,AFG,,,NAT_TOTAL,20200430,3,1,3,0,2,1,4,1,2,0,2,0,2,0,3,0,,0,,0,2,1,1,1,0,0,1,1,0,,,2127,64,84.26,84.26,83.33,83.33,57.78,57.78,66.67,66.67,0,0
Afghanistan,AFG,,,NAT_TOTAL,20200531,3,1,3,0,2,1,4,1,2,0,2,0,2,0,3,0,,1,0,0,2,1,1,1,0,0,1,1,0,,,15208,258,84.26,84.26,83.33,83.33,61.11,61.11,66.67,66.67,25,25
Afghanistan,AFG,,,NAT_TOTAL,20200630,3,1,3,0,2,1,4,1,2,0,2,0,2,0,1,0,,0,0,0,2,1,1,1,0,0,3,1,0,,,31507,752,78.7,78.7,76.19,76.19,57.78,57.78,66.67,66.67,0,0
Afghanistan,AFG,,,NAT_TOTAL,20200731,3,1,3,0,2,1,4,1,2,0,2,0,2,0,1,0,,0,0,0,2,1,1,1,0,0,3,1,0,,,36665,1284,78.7,78.7,76.19,76.19,57.78,57.78,66.67,66.67,0,0
Afghanistan,AFG,,,NAT_TOTAL,20200831,2,1,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,2,1,3,2,0,0,3,1,0,,,38159,1403,21.3,21.3,28.57,28.57,31.11,31.11,35.9,35.9,0,0
Afghanistan,AFG,,,NAT_TOTAL,20200930,2,1,2,1,0,,0,,0,,0,,0,,1,0,,0,0,0,2,1,3,1,0,0,3,1,0,,,39268,1460,28.7,28.7,39.29,39.29,32.22,32.22,37.18,37.18,0,0
Afghanistan,AFG,,,NAT_TOTAL,20201031,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,1,1,3,1,0,0,2,1,0,,,41425,1538,5.56,5.56,9.52,9.52,16.67,16.67,19.23,19.23,0,0
Afghanistan,AFG,,,NAT_TOTAL,20201130,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,3,1,0,0,3,1,0,,,46274,1795,8.33,8.33,13.1,13.1,20,20,23.08,23.08,0,0
Afghanistan,AFG,,,NAT_TOTAL,20201231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,1,1,3,1,0,0,3,1,0,,,51526,2191,8.33,8.33,13.1,13.1,20,20,23.08,23.08,0,0
Angola,AGO,,,NAT_TOTAL,20200131,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,,,NAT_TOTAL,20200229,0,,0,,0,,0,,0,,0,,0,,2,0,,0,0,0,0,,1,0,0,0,0,,0,,,0,0,5.56,5.56,7.14,7.14,5.56,5.56,6.41,6.41,0,0
Angola,AGO,,,NAT_TOTAL,20200331,3,1,3,1,2,1,4,1,2,1,2,1,2,1,4,0,,0,0,0,1,1,1,0,0,0,0,,0,,,7,2,90.74,90.74,95.24,95.24,56.67,56.67,65.38,65.38,0,0
Angola,AGO,,,NAT_TOTAL,20200430,3,1,2,1,2,1,4,1,1,1,2,1,2,0,4,1,1,2,0,0,1,1,2,0,0,0,3,1,0,,,27,2,78.7,78.7,83.33,83.33,66.67,66.67,65.38,65.38,75,75
Angola,AGO,,,NAT_TOTAL,20200531,3,1,2,1,2,1,3,1,1,1,1,1,2,0,4,1,1,2,0,0,2,1,2,0,0,0,3,1,0,,,86,4,77.78,77.78,86.9,86.9,66.11,66.11,64.74,64.74,75,75
Angola,AGO,,,NAT_TOTAL,20200630,3,1,2,0,2,1,3,1,1,1,1,1,2,0,4,1,1,0,0,0,2,1,2,0,0,0,3,1,0,,,284,13,75.93,75.93,83.33,83.33,58.33,58.33,63.46,63.46,25,25
Angola,AGO,,,NAT_TOTAL,20200731,3,1,2,0,2,1,4,0,1,1,2,0,2,0,4,1,1,0,0,0,2,1,2,0,0,0,4,1,0,,,1148,52,79.17,79.17,83.33,83.33,61.94,61.94,67.63,67.63,25,25
